epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
87,487.538,0.33266,7.70831,0,0.22852,0.92025,0.97659,0.98333,0.99452,0.95091,0.03326,0.03333,0.01251,0.00125,0.33584,6.3531,0,0.21629,0.86009,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,493.147,0.33593,7.76596,0,0.23408,0.92847,0.97823,0.98333,0.99419,0.948,0.04994,0.05,0.0243,0.00243,0.3476,6.36963,0,0.21601,0.86821,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,498.523,0.35002,7.82638,0,0.24808,0.93541,0.97809,0.98333,0.99356,0.95136,0.01696,0.01667,0.00635,0.00063,0.33971,6.32876,0,0.21749,0.8648,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,504.184,0.34248,7.7749,0,0.22977,0.93123,0.98013,0.98333,0.99356,0.95372,0.05083,0.05,0.03386,0.00339,0.33733,6.32045,0,0.20962,0.86112,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,511.561,0.23047,6.39169,0,0.17309,0.83007,0.96696,0.98333,0.99356,0.94554,0.03303,0.03333,0.0107,0.00107,0.33815,6.26906,0,0.21681,0.86081,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,516.833,0.21685,6.28174,0,0.15138,0.82124,0.96771,0.99907,0.99434,0.94988,0.03278,0.03333,0.00953,0.00095,0.33258,6.29611,0,0.20599,0.86154,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,521.828,0.2232,6.24947,0,0.15128,0.80763,0.96771,0.99906,0.99468,0.95629,0.03291,0.03333,0.0096,0.00096,0.33055,6.29308,0,0.20632,0.86471,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,527.128,0.20849,6.21389,0,0.13742,0.81444,0.96771,0.99902,0.99434,0.95302,0.03332,0.03333,0.01036,0.00104,0.32744,6.24755,0,0.20056,0.85984,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,532.269,0.20916,6.21676,0,0.1353,0.80563,0.96771,0.99893,0.99434,0.95211,0.0851,0.08333,0.04245,0.00424,0.32933,6.22162,0,0.19625,0.8635,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,537.815,0.2094,6.14847,0,0.13742,0.81834,0.98287,0.98333,0.99468,0.953,0.1025,0.1,0.04175,0.00417,0.33029,6.16473,0,0.18892,0.86709,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
